timestamp,heapMemoryUsed,nonHeapMemoryUsed,recordsProcessed,throughput
1746698441929,20971520,14411632,0,0.00
1746698442932,52166472,26715648,0,0.00
1746698443938,161668976,27881944,0,0.00
1746698444937,98258184,47706256,0,0.00
1746698445935,36817720,57067664,0,0.00
1746698446934,87149368,73862672,0,0.00
1746698447934,41082928,85225536,0,0.00
1746698448930,117628976,99539408,0,0.00
1746698449932,484401664,100758104,3618,3610.78
1746698450983,514850816,102928440,29195,27778.31
1746698451931,523333808,104680832,11062,11668.78
1746698452939,565321800,105018968,53097,52675.60
1746698453936,1494360136,105357176,53047,53206.62
1746698454938,957526632,105436992,45670,45578.84
1746698455941,726860800,104924944,62531,62343.97
1746698456943,594740224,103877768,69289,69150.70
1746698457929,1661142016,103964192,60616,61476.67
1746698458928,1438319616,104426336,62950,63013.01
1746698459935,1247478784,104473488,65670,65213.51
1746698460941,953877504,104558864,58173,57826.04
1746698461927,683869184,104575328,60933,61798.17
1746698462966,555418624,104630712,68358,65792.11
1746698463939,1614480384,104674216,60789,62475.85
1746698464941,1331889152,104714224,58220,58103.79
1746698465942,1067123712,104839624,63949,63885.11
1746698466933,899276800,104842512,65751,66348.13
1746698467933,1729748992,107873320,48384,48384.00
1746698468936,1218118656,110114288,43789,43658.03
1746698469940,844825600,109797056,58296,58063.75
1746698470942,1730872320,110566176,49408,49309.38
1746698471928,1508713184,112332984,63374,64273.83
1746698472933,1240477184,111761640,59019,58725.37
1746698473933,1021440512,112099360,65207,65207.00
1746698474938,807556096,112109360,63520,63203.98
1746698475936,1846694912,112109360,61618,61741.48
1746698476936,1467145728,112261208,53611,53611.00
1746698477940,965437440,111686104,46859,46672.31
1746698478941,1812686848,111148960,47924,47876.12
1746698479942,1588855296,111322256,64410,64345.65
1746698480943,1477716992,111360600,69082,69012.99
1746698481943,1376011776,111360600,68831,68831.00
1746698482930,1200916480,112869592,65037,65893.62
1746698483939,1117049344,112296768,74814,74146.68
1746698484929,1057819648,111760960,70567,71279.80
1746698485937,914703872,112419640,65634,65113.10
1746698486929,693453312,111850168,65378,65905.24
1746698487961,554668032,111852288,64910,62897.29
1746698488934,1704955904,112556008,66621,68469.68
1746698489935,1549434368,112556008,69203,69133.87
1746698490941,1379838464,111985000,64801,64414.51
1746698491943,1301902336,112653144,73360,73213.57
1746698492927,1197044736,112653144,69202,70327.24
1746698493933,1107924480,112661200,70709,70287.28
1746698494941,923918336,112944160,65259,64741.07
1746698495942,666511872,112944160,59687,59627.37
1746698496931,1848257024,112944160,71924,72723.96
1746698497940,1713024000,113069176,70370,69742.32
1746698498930,1473948672,112546104,60835,61449.49
1746698499933,1274727936,112548536,64800,64606.18
1746698500931,954421248,113280552,57903,58019.04
1746698501930,710061552,113282048,64476,64540.54
1746698502928,1714597360,113282048,58903,59021.04
1746698503941,1446711792,112706176,59926,59156.96
