timestamp,heapMemoryUsed,nonHeapMemoryUsed,recordsProcessed,throughput
1746686448951,20971520,14401360,0,0.00
1746686449952,130066240,27330184,0,0.00
1746686450955,59736816,39801760,0,0.00
1746686451961,105874160,50193064,0,0.00
1746686452959,65504656,67751208,0,0.00
1746686453960,27503360,82003488,0,0.00
1746686454957,74689280,92531096,0,0.00
1746686455973,281018368,100169008,0,0.00
1746686456951,663748608,101503120,15322,15666.67
1746686457951,644874240,103522672,22122,22122.00
1746686458953,727075328,104870936,16590,16556.89
1746686459951,1054750608,105409824,50461,50562.12
1746686460953,555108864,105857688,55041,54931.14
1746686461953,1403406848,105305784,47909,47909.00
1746686462963,702958080,105358784,44459,44018.81
1746686463961,1654016512,105580096,57016,57130.26
1746686464960,1109805568,104709368,52120,52172.17
1746686465960,591809024,104843664,54336,54336.00
1746686466957,1639336448,104903032,61559,61744.23
1746686467954,1174292992,104922528,56715,56885.66
1746686468953,710298112,104996232,59581,59640.64
1746686469955,1672890880,105074152,54870,54760.48
1746686470953,1192643072,105077224,55779,55890.78
1746686471953,716065280,105142984,56389,56389.00
1746686472953,1730038272,105147208,58302,58302.00
1746686473954,1265519104,105160392,59336,59276.72
1746686474952,748046848,105823712,54115,54223.45
1746686475956,1751534080,105823712,58157,57925.30
1746686476959,1319520768,105256416,60396,60215.35
1746686477953,859720192,105267760,58447,58799.80
1746686478956,1899907584,105272256,60264,60083.75
1746686479958,1367101440,105291040,53429,53322.36
1746686480958,879115776,105303272,55175,55175.00
1746686481965,1890991616,105305064,59649,59234.36
1746686482952,1425498624,105310536,59959,60748.73
1746686483951,955810304,105310536,56993,57050.05
1746686484951,1951957504,105363952,57014,57014.00
1746686485955,1439243264,105363952,55673,55451.20
1746686486962,933338624,105406192,56234,55843.10
1746686487960,1924242944,105421248,58421,58538.08
1746686488963,1431476224,105444032,55607,55440.68
1746686489965,901960192,105453888,54540,54431.14
1746686490952,1865601536,105493568,55830,56565.35
1746686491964,1395325952,105528128,57758,57073.12
1746686492959,922881120,105532864,58089,58380.90
1746686493959,1921125472,105564608,57891,57891.00
1746686494965,1420519424,105627064,57360,57017.89
1746686495964,956990232,105633440,58353,58411.41
1746686496963,1952088856,105633440,57976,58034.03
1746686497952,1451478016,105633440,56110,56734.07
1746686498951,985929216,105639432,59699,59758.76
1746686499953,1954813440,105654536,54797,54687.62
1746686500962,1378631680,105661056,52574,52105.05
1746686501956,832330240,105666944,53376,53698.19
1746686502964,1824283136,105667840,57576,57119.05
1746686503950,1243905024,105686912,50471,51187.63
1746686504962,693402624,107486008,52876,52249.01
1746686505963,1695841280,107486008,58717,58658.34
1746686506959,1214544896,106342328,57964,58196.79
1746686507965,718067200,105775520,56534,56196.82
1746686508962,1715262976,105775520,57970,58144.43
1746686509965,1209853952,105776544,55819,55652.04
1746686510952,729607464,105776544,57764,58524.82
1746686511951,1742531880,105795616,58805,58863.86
1746686512952,1299494336,105798528,60465,60404.60
1746686513958,833965568,105798928,57651,57307.16
1746686514959,1738886656,105826240,51548,51496.50
1746686515957,1253395968,105902272,57965,58081.16
1746686516962,748506624,105902272,54685,54412.94
1746686517960,1767722496,105902272,58834,58951.90
1746686518959,1305313280,105917856,59307,59366.37
1746686519962,787319296,105917856,55170,55004.99
1746686520964,1778223616,105917856,58167,58050.90
1746686521965,1313180160,105917856,58452,58393.61
1746686522962,831888384,105917856,55786,55953.86
1746686523964,1819646976,105917856,58551,58434.13
1746686524954,1285921792,105964976,55543,56104.04
1746686525956,746963456,106032304,52790,52684.63
1746686526954,1771422208,106035632,60865,60986.97
1746686527951,1296954368,106035632,59356,59534.60
1746686528955,820385280,106038832,55580,55358.57
1746686529954,1796609536,106041136,55127,55182.18
1746686530953,1306924544,106041136,56857,56913.91
1746686531965,829825024,106051248,59483,58777.67
1746686532964,1843798016,106067248,58251,58309.31
1746686533954,1379278848,106068856,57986,58571.72
1746686534963,820912128,106111496,52039,51574.83
1746686535951,1823350784,106111496,59581,60304.66
1746686536953,1351491584,106111496,56530,56417.17
1746686537954,845044224,106111496,57119,57061.94
1746686538954,1879988736,106116960,58835,58835.00
1746686539952,1354127872,106125600,55390,55501.00
1746686540964,878598656,106125600,58253,57562.25
1746686541954,1865308672,106129440,57435,58015.15
1746686542953,1375623680,106131488,55808,55863.86
1746686543952,925787136,106133408,58020,58078.08
1746686544952,1899914240,106139072,56850,56850.00
1746686545954,1353606144,106148160,53524,53417.17
